Year,Economy,Economy Label,Gross Tonnage,Gross Tonnage Footnote,Gross Tonnage Missing value,Percentage of total all economies,Percentage of total all economies Footnote,Percentage of total all economies Missing value
2014,0000,"World",22561239,,,100,,
2014,5100,"Africa",32677,,,0.14484,,
2014,5110,"Northern Africa",9085,,,0.04027,,
2014,5120,"Sub-Saharan Africa",23592,,,0.10457,,
2014,5124,"Western Africa",23592,,,0.10457,,
2014,5200,"Americas",167720,,,0.7434,,
2014,5210,"Northern America",113417,,,0.50271,,
2014,5220,"Latin America and the Caribbean",54303,,,0.24069,,
2014,5221,"Caribbean",54303,,,0.24069,,
2014,5300,"Asia",21892099,,,97.03412,,
2014,5330,"Eastern Asia",5362050,,,23.76665,,
2014,5350,"South-eastern Asia",105993,,,0.4698,,
2014,5320,"Southern Asia",15489196,,,68.65401,,
2014,5340,"Western Asia",934860,,,4.14366,,
2014,5400,"Europe",66922,,,0.29662,,
2014,5410,"Eastern Europe",2356,,,0.01044,,
2014,5420,"Northern Europe",43610,,,0.1933,,
2014,5430,"Southern Europe",6308,,,0.02796,,
2014,5440,"Western Europe",14648,,,0.06493,,
2014,0000u,"World n.e.s.",396524,,,1.75755,,
2014,0001,"Individual economies",,,"Not applicable",,,"Not applicable"
2014,050,"Bangladesh",4420911,,,19.59516,,
2014,056,"Belgium",13043,,,0.05781,,
2014,124,"Canada",22542,,,0.09991,,
2014,156,"China",5341265,,,23.67452,,
2014,192,"Cuba",41532,,,0.18409,,
2014,531,"Curaçao",1562,,,0.00692,,
2014,208,"Denmark",32972,,,0.14614,,
2014,214,"Dominican Republic",11209,,,0.04968,,
2014,818,"Egypt",9085,,,0.04027,,
2014,356,"India",6927837,,,30.70681,,
2014,360,"Indonesia",58202,,,0.25797,,
2014,392,"Japan",15279,,,0.06772,,
2014,428,"Latvia",324,,,0.00144,,
2014,440,"Lithuania",5378,,,0.02384,,
2014,528,"Netherlands (Kingdom of the)",1605,,,0.00711,,
2014,566,"Nigeria",23592,,,0.10457,,
2014,586,"Pakistan",4140448,,,18.35204,,
2014,608,"Philippines",9601,,,0.04256,,
2014,620,"Portugal",6308,,,0.02796,,
2014,410,"Republic of Korea",5506,,,0.0244,,
2014,642,"Romania",2356,,,0.01044,,
2014,792,"Türkiye",933489,,,4.13758,,
2014,784,"United Arab Emirates",1371,,,0.00608,,
2014,826,"United Kingdom",4936,,,0.02188,,
2014,840,"United States",90875,,,0.40279,,
2014,704,"Viet Nam",38190,,,0.16927,,
2014,0002,"Special economies",,,"Not applicable",,,"Not applicable"
